Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Daane A.R., Haglund J., Robertson A.D., Close H.G., Scherr R.E.","56313545900;36117486300;55642171500;36522524200;57192425621;","The pedagogical value of conceptual metaphor for secondary science teachers",2018,"Science Education","102","5",,"1051","1076",,,"10.1002/sce.21451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053310893&doi=10.1002%2fsce.21451&partnerID=40&md5=fe65333736c9e5dfae3c64de81b7c649","Department of Physics, South Seattle College, Seattle, WA, United States; Department of Engineering and Physics, Karlstads Universitet, Karlstad, Sweden; Department of Physics, Seattle Pacific University, Seattle, WA, United States; Department of Physics, Texas State University, San Marcos, TX, United States","Daane, A.R., Department of Physics, South Seattle College, Seattle, WA, United States; Haglund, J., Department of Engineering and Physics, Karlstads Universitet, Karlstad, Sweden; Robertson, A.D., Department of Physics, Seattle Pacific University, Seattle, WA, United States; Close, H.G., Department of Physics, Texas State University, San Marcos, TX, United States; Scherr, R.E., Department of Physics, Seattle Pacific University, Seattle, WA, United States","The abstract nature of energy encourages metaphorical language. In educational settings, teachers and students use conceptual metaphors subconsciously to express their ideas about what energy is or how it functions in particular scenarios. However, research on scientific analogies and metaphors has predominantly focused on explicit instructional analogies, rather than implicit, everyday metaphor. In professional development for secondary science teachers, we sought to make explicit the embeddedness and ubiquity of conceptual metaphor in everyday language and in science—particularly, in energy—to expand teachers’ understanding of their students’ ideas. In our microcase study, we observed and video recorded four secondary teachers discussing metaphor. We used interaction analysis methods, focusing on how both discursive and nonverbal interactions between people, objects, and environment change over time, to analyze the collected data. We found evidence of teachers’ (1) learning about conceptual metaphor theory and (2) finding value in understanding conceptual metaphor in educational settings. In particular, teachers acknowledged that if they identify implicit metaphors in students’ science language, they will better understand students’ ideas about energy. We present possible mechanisms for teacher learning about and valuing of energy metaphor; we also suggest how to support teachers in noticing and valuing metaphors for energy instruction. © 2018 Wiley Periodicals, Inc.","conceptual metaphor; energy; secondary science teachers",,,,,,"Daane, A.R.; Department of Physics, South Seattle CollegeUnited States; email: abigail.daane@seattlecolleges.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053310893
"Moon A., Gere A.R., Shultz G.V.","55858866300;14829125500;23474993400;","Writing in the STEM classroom: Faculty conceptions of writing and its role in the undergraduate classroom",2018,"Science Education","102","5",,"1007","1028",,,"10.1002/sce.21454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053308642&doi=10.1002%2fsce.21454&partnerID=40&md5=4f81c9b59630eb7be6dfb94370c203bc","Department of Chemistry, University of Michigan, Ann Arbor, MI, United States; Sweetland Center for Writing, University of Michigan, Ann Arbor, MI, United States","Moon, A., Department of Chemistry, University of Michigan, Ann Arbor, MI, United States; Gere, A.R., Sweetland Center for Writing, University of Michigan, Ann Arbor, MI, United States; Shultz, G.V., Department of Chemistry, University of Michigan, Ann Arbor, MI, United States","Writing is widely recognized as fundamental to the construction and communication of scientific knowledge. Building on this relationship between writing and knowledge construction, writing-to-learn (WTL) activities have shown to be effective in many science classrooms, but have not been widely implemented at the postsecondary level. To address the lack of implementation, we investigated potential adopters of this pedagogy. Potential adopters, postsecondary faculty, are unique given the key role writing plays in their professional practice as researchers. Because of this unique feature and the fact that an instructor's theoretical orientation toward a construct impacts their instruction of that construct, an investigation of postsecondary faculty's conceptions of writing instruction is necessary to understand the way writing is being used in the postsecondary classroom. To this end, 33 STEM faculty across multiple disciplines and positions were interviewed about writing and its role in their classes. A phenomenographic analysis resulted in four faculty “types” consisting of unique combinations of concept and practice, organized according to compatibility with WTL. Profiles were built that describe unique conceptions, desired outcomes, and challenges for each type. These profiles provide an understanding of the relationship between faculty's conceptions and instructional practices regarding writing and lay the groundwork for understanding how writing is used in the postsecondary classroom. © 2018 Wiley Periodicals, Inc.","case study; faculty conceptions; phenomenography; science writing; undergraduate STEM; writing-to-learn",,,,,,"Shultz, G.V.; Department of Chemistry, University of MichiganUnited States; email: gshultz@umich.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053308642
"Pattison S.A., Gontan I., Ramos-Montañez S., Moreno L.","55606161900;57199861050;23475563100;57189193328;","Identity negotiation within peer groups during an informal engineering education program: The central role of leadership-oriented youth",2018,"Science Education","102","5",,"978","1006",,,"10.1002/sce.21459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053338413&doi=10.1002%2fsce.21459&partnerID=40&md5=a13507c7d51ea56b30ce5f49a9646f7f","TERC, Boston, MA, United States; Fleet Science Center, San Diego, CA, United States; Oregon Museum of Science and Industry, Portland, OR, United States; Catalysis LLC, Portland, OR, United States","Pattison, S.A., TERC, Boston, MA, United States; Gontan, I., Fleet Science Center, San Diego, CA, United States; Ramos-Montañez, S., Oregon Museum of Science and Industry, Portland, OR, United States; Moreno, L., Catalysis LLC, Portland, OR, United States","As part of ongoing efforts to support a diverse and robust engineering workforce and ensure that children and adults from all communities have the engineering and design thinking skills to succeed in a science, technology, engineering, and mathematics (STEM)-rich world, identity has become a growing focus of research and education efforts. To advance our understanding of engineering-related identity negotiation within informal STEM education contexts, we conducted an in-depth, qualitative investigation of six adolescent girls participating in an afterschool engineering education program jointly run by two community-based organizations and a science center. Building on the Identity-Frame Model developed through our prior work, analysis of videotaped program sessions and secondary data from participants, program facilitators, and parents highlighted the important role that leadership-oriented youth played in shaping the identity negotiation of participants during the programs, both in the ways they recognized and positioned the situated identities of other youth and through their influence on the activity frames that defined the nature of the engineering activities. These findings extend prior classroom studies and suggest a new lens to help teachers and program facilitators support identity negotiation for youth in STEM education programs. © 2018 Wiley Periodicals, Inc.",,,,,,,"Pattison, S.A.; TERCUnited States; email: spattiso@gmail.com",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053338413
"Chang H.-Y.","7407523680;","Students’ representational competence with drawing technology across two domains of science",2018,"Science Education","102","5",,"1129","1149",,,"10.1002/sce.21457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053341867&doi=10.1002%2fsce.21457&partnerID=40&md5=0f50c7e0ea8a51ed2afd6ebf6432c6ff","Graduate Institute of Digital Learning and Education, National Taiwan University of Science and Technology, Taipei, Taiwan","Chang, H.-Y., Graduate Institute of Digital Learning and Education, National Taiwan University of Science and Technology, Taipei, Taiwan","Research has indicated the importance of representational competence for learning science. Issues related to the nature of students’ representational competence, such as how they demonstrate representational competence across different domains of science, require investigation. In the present study, four aspects of representational competence across two domains of science were investigated: use of dynamic representations, use of multiple representations, use of adequate science concepts, and use of visualization strategies. Two instruments, the representational competence of states of matter and the representational competence of carbon cycling assessments were delivered via a computer-based drawing tool and were used to measure 40 senior high school students’ representational competence for the topic of states of matter and carbon cycling. The results indicated that the representational competence demonstrated in one topic was not significantly correlated to that demonstrated in the other. The results of path analyses using multiple regressions indicated a trend that the extent to which multiple representations were employed was significantly and closely related to the extent to which appropriate science concepts were applied to make the drawings. Implications of the findings are discussed. © 2018 Wiley Periodicals, Inc.","drawing technology; path analysis using multiple regressions; representational competence",,,,,,"Chang, H.-Y.; Graduate Institute of Digital Learning and Education, National Taiwan University of Science and TechnologyTaiwan; email: hychang@mail.ntust.edu.tw",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053341867
"Morales D.X., Grineski S.E., Collins T.W.","57190659183;11139615800;9246426900;","Effects of gender concordance in mentoring relationships on summer research experience outcomes for undergraduate students",2018,"Science Education","102","5",,"1029","1050",,,"10.1002/sce.21455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053340663&doi=10.1002%2fsce.21455&partnerID=40&md5=5d708031bcaa454ceacea916f7cdd6c2","Department of Sociology and Anthropology, University of Texas at El Paso, El Paso, TX, United States; Department of Sociology, University of Utah, Salt Lake City, UT, United States; Department of Geography, University of Utah, Salt Lake City, UT, United States","Morales, D.X., Department of Sociology and Anthropology, University of Texas at El Paso, El Paso, TX, United States; Grineski, S.E., Department of Sociology, University of Utah, Salt Lake City, UT, United States; Collins, T.W., Department of Geography, University of Utah, Salt Lake City, UT, United States","Undergraduate research is a high impact educational practice that encourages more women to engage in science. Few studies have focused on gender concordance between mentors and mentees within the context of summer undergraduate research programs, and none have linked gender concordance with student gains. Previous research has more often overlooked the faculty–postgraduate–undergraduate triad, focusing instead on the faculty–undergrad dyad. This study explores the effects of gender concordance among mentoring dyads and triads on student gains from summer research experiences. Using programmatic and evaluation data, bivariate analyses were conducted and generalized estimating equations were employed to examine effects of gender concordance in mentoring relationships on student gains. Results indicate that gender concordance within undergraduate mentee and faculty mentor dyads promoted the greatest student gains among the six categories of mentoring relationships studied, having postgraduate mentors for undergraduates suppressed student gains, and women benefited more than men from gender concordance in mentoring relationships. Considering the results, undergraduate research program staff should make efforts to recruit more women faculty mentors, consider matching them with women undergraduates, train men scientists so they can be effective mentors for women students, and provide high-quality mentoring training opportunities for postgraduate mentors. © 2018 Wiley Periodicals, Inc.","gender; mentoring; undergraduate research experiences",,,,,,"Morales, D.X.; Department of Sociology and Anthropology, University of Texas at El PasoUnited States; email: xdeng2@utep.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053340663
"Wilmes S.E.D., Siry C.","57078825000;16246050900;","Interaction rituals and inquiry-based science instruction: Analysis of student participation in small-group investigations in a multilingual classroom",2018,"Science Education","102","5",,"1107","1128",,,"10.1002/sce.21462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050465660&doi=10.1002%2fsce.21462&partnerID=40&md5=bb69e59bbabd65d132744efc3293184b","Institute of Applied Educational Sciences, University of Luxembourg, Esch-sur-Alzette, Luxembourg","Wilmes, S.E.D., Institute of Applied Educational Sciences, University of Luxembourg, Esch-sur-Alzette, Luxembourg; Siry, C., Institute of Applied Educational Sciences, University of Luxembourg, Esch-sur-Alzette, Luxembourg","Language learners participating in inquiry-based science instruction are often faced with the challenge of interacting in a language they have not yet mastered. With this challenge at the fore, this study uses interaction ritual theory to examine a plurilingual student's participation in inquiry-based science. Interaction ritual analysis of the focal student's interactions with peers during small-group science investigations at the microlevel (tenths of a second) and in real-time revealed that positive interaction rituals failed to form at first. Over a period of 6 months, his persistent use of nonverbal and verbal participation strategies, and opportunities to engage diverse communicative resources, resulted in higher levels of synchrony with his classmates and successful interactions in the language of instruction. The findings present novel information about the nuances of the silent, embodied participation of language learners in inquiry-oriented instruction. Further, the findings elaborate the claim that inquiry-based science pedagogies created space for students to form successful interaction rituals that, in turn, supported the focal student's science engagement and language development. © 2018 The Authors Science Education Published by Wiley Periodicals, Inc.","inquiry-based science instruction; interaction rituals; language learners; multilingual; plurilingual; student participation",,,,,,"Siry, C.; Institute of Applied Educational Sciences, University of LuxembourgLuxembourg; email: christina.siry@uni.lu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,Open Access,Scopus,2-s2.0-85050465660
"Kapon S., Laherto A., Levrini O.","26433439600;56153713100;24080895900;","Disciplinary authenticity and personal relevance in school science",2018,"Science Education","102","5",,"1077","1106",,,"10.1002/sce.21458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053309471&doi=10.1002%2fsce.21458&partnerID=40&md5=5858fea7d5c4f87b4f6cf8f2f19f6f08","Faculty of Education in Science and Technology, Technion—Israel Institute of Technology, Technion City, Haifa, Israel; Department of Education, University of Helsinki, Helsinki, Finland; Department of Physics and Astronomy, Alma Mater Studiorum, University of Bologna, Bologna, Italy","Kapon, S., Faculty of Education in Science and Technology, Technion—Israel Institute of Technology, Technion City, Haifa, Israel; Laherto, A., Department of Education, University of Helsinki, Helsinki, Finland; Levrini, O., Department of Physics and Astronomy, Alma Mater Studiorum, University of Bologna, Bologna, Italy","Pursuing both disciplinary authenticity and personal relevance in the teaching and learning of science in school generates tensions that should be acknowledged and resolved. This paper problematizes and explores the conceptualizations of these tensions by considering personal relevance, disciplinary authenticity, and common school science as three perspectives that entail different educational goals. Based on an analysis of the literature, we identify five facets of the tensions: content fidelity, content coverage, language and discursive norms, epistemic structure and standards, and significance. We then explore the manifestations of these facets in two different examples of the instruction and learning of physics at the advanced high school level in Israel and Italy. Our analysis suggests that (1) the manifestations of these tensions and their resolution are highly contextual. (2) While maintaining personal relevance and disciplinary authenticity requires some negotiation, the main tension that needs to be resolved is between personal relevance and common school science. (3) Disciplinary authenticity, when considered in terms of its full depth and scope, can be equipped to resolve this tension within the discipline. (4) To achieve resolution, teachers’ expertise should include not only pedagogical expertise but also a deep and broad disciplinary understanding. © 2018 Wiley Periodicals, Inc.","authenticity; engagement; high school; physics education; relevance",,,,,,"Kapon, S.; Faculty of Education in Science and Technology, Technion—Israel Institute of Technology, Technion CityIsrael; email: skapon@technion.ac.il",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053309471
"Sohr E.R., Gupta A., Elby A.","57200146997;55491959700;6603166875;","Taking an escape hatch: Managing tension in group discourse",2018,"Science Education","102","5",,"883","916",,,"10.1002/sce.21448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047776434&doi=10.1002%2fsce.21448&partnerID=40&md5=1c20b19d9f4d70e8a4deaa69378e62b3","Department of Physics, University of Maryland, College Park, MD, United States; Department of Teaching and Learning, Policy and Leadership, University of Maryland, College Park, MD, United States; Keystone Program, A. J. Clark School of Engineering, University of Maryland, College Park, MD, United States","Sohr, E.R., Department of Physics, University of Maryland, College Park, MD, United States; Gupta, A., Department of Physics, University of Maryland, College Park, MD, United States, Keystone Program, A. J. Clark School of Engineering, University of Maryland, College Park, MD, United States; Elby, A., Department of Physics, University of Maryland, College Park, MD, United States, Department of Teaching and Learning, Policy and Leadership, University of Maryland, College Park, MD, United States","Problem solving in groups can be rich with tension for students. This tension may arise from conflicting approaches (conceptual and/or epistemological) and/or from conflict emerging in the social relations among group members. Drawing on video records of undergraduate students working collaboratively, we use three cases to illustrate the multifaceted ways in which conflict arises—combining conceptual, epistemological, and socioemotional dynamics—and a specific way of managing the tension that can emerge from the multifaceted conflict, “taking an escape hatch.” An escape hatch is a set of discourse moves through which participants close the conversational topic, thereby relieving tension, but before a conceptual resolution is achieved. We describe how epistemological twists and turns can be recruited as a means of managing the strong emotions experienced by the students, showing the coupling of emotion and epistemology in students’ conceptual sense making during group work. We help to provide the groundwork necessary for instructors to notice, understand, and respond to one way in which conceptual–epistemological–social–emotional aspects of interaction are coupled in the emergence of tension, rather than narrowly targeting instructional moves based on only conceptual or epistemological considerations. Instead, instructors should often respond to—and help students become aware of—the emotional component of peer interactions and its entanglement with the “cold cognitive” conceptual and epistemological components. © 2018 Wiley Periodicals, Inc.","interaction analysis; physics; tension management",,,,,,"Sohr, E.R.; Department of Physics, University of MarylandUnited States; email: esohr@umd.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85047776434
"Wu P.-H., Kuo C.-Y., Wu H.-K., Jen T.-H., Hsu Y.-S.","55654654200;57203285060;7405581631;54994553400;8142063500;","Learning benefits of secondary school students' inquiry-related curiosity: A cross-grade comparison of the relationships among learning experiences, curiosity, engagement, and inquiry abilities",2018,"Science Education","102","5",,"917","950",,,"10.1002/sce.21456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050643975&doi=10.1002%2fsce.21456&partnerID=40&md5=719ade09ea81bf319eb3ad42ae23c115","Graduate Institute of Science Education, National Taiwan Normal University, Taipei, Taiwan; Department of Technology Application and Human Resource Development, National Taiwan Normal University, Taipei, Taiwan; Center for Teacher Education, National Tsing Hua University, Hsinchu, Taiwan; Research Center for Education and Mind Sciences, Hsinchu Teachers College, National Tsing Hua University, Hsinchu, Taiwan; Faculty of Education, University of Johannesburg, Auckland Park, South Africa; Research Center for Testing and Assessment, National Academy for Educational Research, Taipai, Taiwan; Science Education Center, National Taiwan Normal University, Taipei, Taiwan","Wu, P.-H., Graduate Institute of Science Education, National Taiwan Normal University, Taipei, Taiwan, Department of Technology Application and Human Resource Development, National Taiwan Normal University, Taipei, Taiwan; Kuo, C.-Y., Center for Teacher Education, National Tsing Hua University, Hsinchu, Taiwan, Research Center for Education and Mind Sciences, Hsinchu Teachers College, National Tsing Hua University, Hsinchu, Taiwan; Wu, H.-K., Graduate Institute of Science Education, National Taiwan Normal University, Taipei, Taiwan, Faculty of Education, University of Johannesburg, Auckland Park, South Africa; Jen, T.-H., Research Center for Testing and Assessment, National Academy for Educational Research, Taipai, Taiwan, Science Education Center, National Taiwan Normal University, Taipei, Taiwan; Hsu, Y.-S., Graduate Institute of Science Education, National Taiwan Normal University, Taipei, Taiwan","This study addresses the issue of curiosity-driven inquiry learning by examining the interplay among students’ inquiry-related curiosity, laboratory engagement, and inquiry abilities and investigates how their learning experiences would associate with such interplay. We employed structural equation modeling to analyze data collected from 920 eighth graders and 1,090 eleventh graders, including their performances on a multimedia-based assessment of scientific inquiry abilities and their responses to items in an online questionnaire. The results revealed that, for students from both grades, inquiry-related curiosity was associated with their inquiry abilities, and that the association was mediated by their inquiry-related laboratory engagement. Furthermore, the analyses showed that both formal and informal experiences were associated with the laboratory engagement of students from both grades through curiosity. Yet, the results indicated that, although the roles of the two types of experiences varied in the associations, formal science experience had stronger associations with students' inquiry abilities than informal science experience for both graders. Taken together, this study supports the importance of having curiosity-driven engagement and suggests that the science education community should collaboratively offer secondary school students such learning opportunities in formal and informal science learning settings. © 2018 Wiley Periodicals, Inc.","cross-grade comparison; inquiry ability; inquiry-related curiosity; inquiry-related laboratory engagement; learning experience",,,,,,"Kuo, C.-Y.; Center for Teacher Education, National Tsing Hua UniversityTaiwan; email: chkuo0108@mail.nd.nthu.edu.tw",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85050643975
"Patall E.A., Steingut R.R., Freeman J.L., Pituch K.A., Vasquez A.C.","12793415300;56215076100;56672341600;9938791000;57189639594;","Gender disparities in students’ motivational experiences in high school science classrooms",2018,"Science Education","102","5",,"951","977",,,"10.1002/sce.21461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053323205&doi=10.1002%2fsce.21461&partnerID=40&md5=a97af4e497fb87d79ed53e7ba6869c1a","Rossier School of Education, University of Southern California, Los Angeles, CA, United States; Teacher's College, Columbia University, New York, NY, United States; Department of Educational Psychology, The University of Texas at Austin, Austin, TX, United States","Patall, E.A., Rossier School of Education, University of Southern California, Los Angeles, CA, United States; Steingut, R.R., Teacher's College, Columbia University, New York, NY, United States; Freeman, J.L., Department of Educational Psychology, The University of Texas at Austin, Austin, TX, United States; Pituch, K.A., Department of Educational Psychology, The University of Texas at Austin, Austin, TX, United States; Vasquez, A.C., Department of Educational Psychology, The University of Texas at Austin, Austin, TX, United States","Women remain underrepresented in physical science, engineering, and computer science college majors and careers. Prior research has suggested that motivational beliefs and experiences in high school play a critical role in girls’ persistence in science fields. We hypothesized that compared to male students, female high school students may experience less daily autonomy support from teachers and lower psychological need satisfaction in physics, chemistry, and engineering courses. In turn, we expected that these differences would explain girls’ lower daily engagement in these courses compared to boys. In line with current trends indicating gender parity in biology and biomedical fields, we did not expect to find gender differences in biology courses. Results from a six-week intensive longitudinal study in which high school students reported their daily experiences of teacher autonomy support, need satisfaction, and engagement during science class supported our hypotheses. The implications of the results for theory and practice are discussed. © 2018 Wiley Periodicals, Inc.","autonomy support; engagement; high school; intensive longitudinal design; motivation; need satisfaction; science; teaching practice",,,,,,"Patall, E.A.; Rossier School of Education, University of Southern CaliforniaUnited States; email: patall@rossier.usc.edu",,"Wiley-Liss Inc.",00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-85053323205
